t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 12: solute,Flux surface 11: solute,Flux surface 13: solute,Flux surface 14: solute,Flux surface 9: solute,Flux surface 15: solute,Flux surface 10: solute
50.0,1390395752.7424347,7182180965846.584,143322917034624.16,150506488396223.6,-242715767973.85355,0.0,-31448461.48860321,-242747216435.34158,703843083229.9552,0.03594123461189879,1960201114364.6619,2664044197594.6455,400227.7139251961,-1021.5555126821516,-100.44494181486697,-0.008985035850497057,-734.1412614496609,-44226.54262359199,-1289476.6544625391
105.0,2479281620.5140524,7507183359134.547,142905993702907.6,150415656343663.44,-298574416466.9757,0.0,-34285787.2394106,-298608702254.2153,966589097484.7317,0.03594123461189879,1696419019613.285,2663008117098.0645,739553.9562886016,-2754.7744617749318,-275.39768219090513,-0.025996203695589484,-1871.0748371471655,-94965.52963400076,-2766634.5757058896
165.5,4806508603.539227,8592832291346.273,141809418654294.1,150407057454245.22,-304329425194.9953,0.0,-30869659.487630866,-304360294854.4817,1272085575999.7793,0.03594123461189879,1389461030694.738,2661546606694.5513,1131477.6181264005,-8194.372979484784,-819.2877218838732,-0.07736338853817205,-5563.53342537706,-197875.8474217534,-5753243.367626546
232.05,9451798042.87772,9856771974214.088,140541399444129.17,150407623216385.25,-303888967848.68854,0.0,-27151248.432557546,-303916119097.12036,1589904105360.4312,0.03594123461189879,1069063460469.723,2658967565830.1685,1697651.275233286,-24969.66214176709,-2496.5035325480776,-0.23573910718034757,-16952.952771471562,-395926.71135554754,-11461396.805258693
305.25500000000005,18793858482.874912,11318363158421.502,139071249847033.39,150408406863939.12,-302472260999.9476,0.0,-23747772.964884475,-302496008772.9108,1882281177269.5774,0.03594123461189879,772153603376.9454,2654434780646.5605,2540010.2287285356,-77564.39147849582,-7754.980173224127,-0.7322854290490423,-52661.37077599188,-757708.9035264456,-21737358.730559282
385.7805000000001,37670582864.60146,13000120868714.799,137371256130462.23,150409047582043.47,-300103037655.5863,0.0,-20667028.89470393,-300123704684.4805,2119832333547.3782,0.03594123461189879,526840463690.4345,2646672797237.8403,3801591.1568762735,-244416.73522765457,-24437.003031398533,-2.3075358101981625,-165941.10877745852,-1391099.0490240133,-39214517.16243042
474.35855000000015,75863092262.02147,14922177964059.727,135411328382031.06,150409369438353.47,-296791443662.89215,0.0,-17905375.28784553,-296809349038.18097,2290661182954.431,0.03594123461189879,343249255889.75555,2633910438844.232,5734570.779152314,-777186.4061680492,-77703.43304792228,-7.337421328044703,-527627.9891413844,-2468965.296489798,-67412727.25602286
571.7944050000002,152956716135.27322,17099935450140.322,133155949803966.02,150408841970240.4,-292807744390.98706,0.0,-15464968.130318172,-292823209359.11774,2397793896535.701,0.03594123461189879,216084129228.95212,2613878025764.692,8769841.121020323,-2479868.1710323743,-247935.53490141846,-23.412703837955316,-1683303.2621306763,-4274768.765126183,-110581822.83463913
678.9738455000003,185115967957.78052,17738908379080.33,132483538117786.92,150407562464825.7,-290625956975.94995,0.0,-14802714.313407943,-290640759690.2642,2404648673203.4893,0.03594123461189879,188631250510.46194,2593279923713.998,9848107.615964267,-3401660.9029393867,-340090.5761576489,-32.116020917153854,-2308458.579400602,-4963144.210593151,-120838429.37845437
796.8712300500003,185114127617.3969,17738733352267.703,132482187333920.23,150406034813804.5,-289635829409.66327,0.0,-14752283.250620108,-289650581692.9142,2386500386967.39,0.03594123461189879,187207610216.50464,2573707997183.938,9862055.8234022,-3401592.6986090415,-340078.21185378265,-32.1160194360677,-2307813.251751306,-4983759.328803312,-114401981.01709476
926.5583530550005,185112002175.8255,17738529680451.312,132480666307951.88,150404307990578.53,-288674604900.8738,0.0,-14703324.33278348,-288689308225.20685,2368140149457.4414,0.03594123461189879,185767356959.15784,2553907506416.6274,9880160.578972405,-3401516.733511341,-340064.54605839634,-32.11601141784259,-2307103.618076483,-5002173.604309101,-108452318.62250957
1069.2141883605007,185109627397.38333,17738302115736.31,132478966845678.12,150402378588812.47,-287129851353.457,0.0,-14624644.004002048,-287144475997.4599,2348947553712.706,0.03594123461189879,184261809733.07373,2533209363445.827,9870281.660964843,-3401432.970589535,-340049.51772784104,-32.11600259335449,-2306323.902231781,-5017360.094547215,-102924340.02076024
