t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 12: solute,Flux surface 11: solute,Flux surface 13: solute,Flux surface 14: solute,Flux surface 9: solute,Flux surface 15: solute,Flux surface 10: solute
3000.0,186474961049.7843,17869137887876.613,133456108998959.77,151511721847885.94,-220222296161.0431,0.0,-11216781.073645826,-220233512942.11584,2606338813725.959,2961.5230026874483,204452700587.76413,2810791517275.231,2612564.5453432957,-3313186.418130934,-322423.9890072587,-4.180259470421367,339958.67449586355,-2175945.300062,6553470.915733504
6300.0,186449173409.94333,17866665553886.383,133437686614331.67,151490801341627.6,-129759444402.58618,0.0,-6609154.955098162,-129766053557.54056,2541784886753.4316,2961.5230026874483,199388811658.09924,2741173701373.071,746142.0230599343,-3276318.450269549,-318142.6166008803,-4.167862044119548,334529.97590277146,-1503590.2265912935,4202778.70618111
9930.0,186420723935.94513,17863939376451.223,133417329538958.8,151467689639346.34,-49043603952.536285,0.0,-2497982.166656779,-49046101934.70286,2488294897602.392,2961.5230026874483,195192837401.16644,2683487737965.0703,101043.3989547989,-3236988.1865745718,-313610.7642627553,-4.1547402327265806,328733.74772742536,-1206487.3221120134,3192205.4015923683
13923.000000000002,186389457816.35135,17860943293216.38,133394956992395.88,151442289743428.38,15551160439.0539,0.0,792081.2970966302,15551952520.350937,2451868914528.376,2961.5230026874483,192335437550.66824,2644204355040.5522,-197367.59288929167,-3195141.5027392507,-308827.8257620862,-4.1409026018414465,322560.40792619553,-966184.5192259331,2651950.8172717476
18315.300000000003,186355129611.4875,17857653784874.625,133370393350883.36,151414402265369.62,65432808198.57998,0.0,3332748.30531415,65436140946.88542,2431385538477.103,2961.5230026874483,190728644007.93762,2622114185446.559,-359909.51731576654,-3150739.944848364,-303795.40497478924,-4.126367575777943,316003.02124451945,-736311.6722011596,2286544.9394654604
23146.830000000005,186317457717.0772,17854043866622.07,133343437110477.2,151383798434817.16,103389485237.50151,0.0,5266030.011530825,103394751267.51381,2424470688186.7207,2961.5230026874483,190186222753.8093,2614656913902.0684,-459478.7355460777,-3103764.6314611053,-298517.4376113695,-4.111165193388709,309057.56849745585,-522075.2506319041,1962238.4156835563
28461.513000000006,186276132610.57236,17850083878376.633,133313866789450.02,151350226800438.4,132050755351.28178,0.0,6725860.363094456,132057481211.64557,2428918291793.637,2961.5230026874483,190535119533.66873,2619453414288.835,-523820.24845121056,-3054219.047781435,-293000.29745551967,-4.095338262535642,301723.40139266197,-332298.5151256955,1626781.9643895542
34307.66430000001,186230816621.1817,17845741462740.57,133281440763933.56,151313413043294.16,153616571278.85748,0.0,7824291.539435683,153624395570.39832,2442941778048.3496,2961.5230026874483,191635187906.14297,2634576968916.015,-565087.3415434501,-3002131.3692523884,-287252.84062779165,-4.078943289240566,294003.68516369525,-171423.1329351389,1275982.0609194152
40738.430730000015,186181142317.96906,17840981410540.348,133245896114560.39,151273058667418.66,169850955825.24323,0.0,8651172.106998183,169859606997.35004,2465181139385.0083,2961.5230026874483,193379743169.99573,2658560885516.52,-589872.9719408575,-2947556.3205977953,-281286.37894690654,-4.062051075347879,285905.8113240183,-39911.335033594354,927783.7614643371
47812.27380300002,186126710584.2736,17835765476306.34,133206947248546.72,151228839435437.22,182133009917.604,0.0,9276745.058629302,182142286662.66232,2494657069938.972,2961.5230026874483,195691964608.81546,2690349037509.3145,-602553.6888920332,-2890576.441166603,-275114.57703752536,-4.044746872080294,277441.7605930052,64201.46730644392,604251.4188982202
55593.501183300024,186067088573.2347,17830052182362.207,133164284436715.11,151180403707651.66,191522328050.5465,0.0,9754979.677529728,191532083030.22388,2530711830985.991,2961.5230026874483,198520256605.18146,2729232090552.7075,-606398.4451056725,-2831302.6100161313,-268753.27263243095,-4.027129977435696,268628.39444948727,144077.3491221582,322178.6167682225
64152.85130163003,186001807588.94028,17823796615782.707,133117572297264.58,151127370720633.9,198825299580.43198,0.0,10126948.520949652,198835426528.95352,2572949348600.167,2961.5230026874483,201833549570.0002,2774782901131.696,-603955.7272472021,-2769873.6974796397,-262220.22525374725,-4.0093126767705485,259487.65312278725,203320.47768607308,90151.82671145721
73568.13643179304,185930360910.94827,17816950219928.996,133066448239019.62,151069328819860.03,204654844167.05194,0.0,10423869.97938119,204665268037.0307,2621181439739.1787,2961.5230026874483,205617081653.54214,2826798524354.226,-597214.5368114656,-2706455.2423240487,-255534.8046203816,-3.991418451249933,250046.63842209763,245564.1285355037,-90752.82855829407
