t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 11: solute,Flux surface 12: solute,Flux surface 13: solute,Flux surface 9: solute,Flux surface 14: solute,Flux surface 10: solute
3600.0,403273876122.1185,20460079482480.562,128630951851577.12,149494305210180.03,-107794191411.8639,0.0,-4409072.895744256,-107798600484.76007,1819957845884.0222,0.0,76896540145.16708,1896854386029.1914,-7097646.073514771,-1193729.4302165203,-115.87698218177643,-8702863.292629426,-8533257.952883147,-98930362.28255045
7560.0,402744888615.0709,20433241131141.215,128462238002336.84,149298224022093.75,36164545861.675385,0.0,1479227.3759468917,36166025089.05114,1453775941489.4543,0.0,61424695921.85512,1515200637411.2988,-14893532.633158343,-1191987.2536594213,-115.87248703593494,-8419847.730647232,-7809499.171797837,-59472006.047042266
11916.0,402172369640.95764,20404194497145.977,128279634595492.88,149086001462277.4,117754729906.51791,0.0,4816485.759088852,117759546392.2765,1204246444887.1714,0.0,50881624449.883095,1255128069337.0544,-19140145.94983048,-1190070.7638565523,-115.86756932821564,-8141367.842626065,-6620355.91472104,-41256113.76135393
16707.600000000002,401553104350.0704,20372776198401.87,128082121594068.16,148856450896821.1,159132017042.88733,0.0,6508928.299478293,159138525971.18613,1028813578009.9963,0.0,43469267253.88249,1072282845263.8811,-21154547.770985376,-1187975.6954596478,-115.86219052747423,-7867915.28783954,-5390311.001842574,-30701473.88272911
21978.360000000004,400883472360.9382,20338802555670.566,127868544297374.14,148608230325404.12,177604506579.7815,0.0,7264502.898029881,177611771082.68094,901668763270.0499,0.0,38097166800.55953,939765930070.608,-21946944.08600029,-1185699.1460787524,-115.85630357070806,-7599852.1937087355,-4340494.528354894,-24056276.6189404
27776.196000000007,400159561694.1076,20302075095523.4,127637654997199.81,148339889654417.56,183729596656.96417,0.0,7515035.5870019905,183737111692.55075,806480265267.027,0.0,34075278357.41796,840555543624.4419,-22113964.309166413,-1183239.47972166,-115.84985594832763,-7337415.740725783,-3525587.0228667506,-19730766.431159493
34153.81560000001,399377171115.62836,20262380669242.887,127388113725426.42,148049871565785.88,183548589798.2263,0.0,7507631.918703356,183556097430.1447,732765568357.3022,0.0,30960696889.473846,763726265246.7761,-21980626.535434537,-1180596.174248125,-115.8427891221931,-7080728.225319784,-2922939.457953661,-16833442.06280396
41169.19716000001,398531802155.99146,20219491047898.613,127118485708162.6,147736508558218.1,180379957932.45386,0.0,7378026.33707926,180387335958.79077,673866430925.7219,0.0,28472099718.876904,702338530644.5985,-21716598.780267276,-1177769.597465018,-115.83503790230058,-6829811.125170917,-2486930.0373894726,-14816414.783808902
48886.116876000015,397618649558.7168,20173162437756.727,126827238318895.9,147398019406210.7,175967156091.9187,0.0,7197530.850914617,175974353622.76843,625607791851.3887,0.0,26433083005.63193,652040874857.0208,-21406155.290870383,-1174760.7236634893,-115.8265297705294,-6584602.392429016,-2172614.7513037953,-13345478.937726934
57374.72856360002,396632591496.0809,20123134983872.83,126512737957261.23,147032505532628.25,171176554682.53528,0.0,7001582.344358285,171183556264.8789,585361239190.9988,0.0,24732591630.306187,610093830821.3035,-21088135.087692596,-1171570.8076664736,-115.81718413496758,-6344976.076376423,-1943639.9224476079,-12223107.072423967
66712.20141996004,395568179937.71265,20069132281437.28,126173246976477.36,146637947437851.78,166405611087.52225,0.0,6806437.89538379,166412417525.41852,551411896114.4226,0.0,23298168976.462673,574710065090.8827,-20778245.15102846,-1168201.037405935,-115.80691149392406,-6110763.285229377,-1773356.1792218839,-11334851.98085085
76983.42156195606,394419631305.13556,20010860901632.52,125806920701868.23,146212201234806.53,161811503688.52298,0.0,6618526.523337738,161818122215.04514,522556544882.73926,0.0,22078976934.852665,544635521817.58984,-20481062.122936103,-1164652.1879849138,-115.79561248631504,-5881773.4260812495,-1643350.878153453,-10613578.311002037
88281.76371815166,393180817422.01276,19948009932486.19,125411804543578.81,145752995293488.4,157433644855.08432,0.0,6439460.300335815,157440084315.3852,497867592311.6828,0.0,21035823014.16315,518903415325.84705,-20196172.822458234,-1160924.2994385133,-115.78317680561547,-5657814.606822467,-1541309.440895288,-10017577.808814634
100709.94008996684,391845256700.0612,19880250531682.777,124985831184308.83,145257926972692.53,153256842538.0202,0.0,6268617.830628873,153263111155.851,476567801968.71655,0.0,20135867551.185062,496703669519.90295,-19921146.58866507,-1157016.3965727766,-115.76948195827914,-5438712.05330123,-1459045.0443256837,-9518326.197791146
114380.93409896354,390406105476.6606,19807235487071.418,124526817815285.98,144724459407834.38,149243098364.288,0.0,6104444.878367466,149249202809.16458,457973669596.8952,0.0,19350231224.510357,477323900821.4041,-19652908.26059299,-1152926.262459798,-115.75439185379498,-5224323.416940891,-1390999.9568874543,-9094233.359913232
129419.0275088599,388856149446.6335,19728598781944.805,124032463402041.9,144149918333432.34,145347600208.2641,0.0,5945108.50686098,145353545316.77155,441477403771.8933,0.0,18653233710.303474,460130637482.19696,-19388360.47554464,-1148650.2683402216,-115.7377552205716,-5014549.963533844,-1333245.4983156838,-8727773.159500849
145960.93025974592,387187795209.55884,19643955166184.33,123500345986862.64,143531488948255.53,141526904934.48376,0.0,5788831.774805174,141532693766.2588,426547203607.3611,0.0,18022405421.09579,444569609028.45764,-19124671.838682488,-1144183.2536064012,-115.71940384689317,-4809342.881207516,-1282882.691871461,-8404335.434486577
164157.02328572053,385393062082.35675,19552899740858.09,122927920075647.48,142866212878587.44,137743128573.6761,0.0,5634065.125773216,137748762638.80197,412732926721.0448,0.0,17438726991.603638,430171653712.64594,-18859413.270659447,-1139518.4424557257,-115.69915064609498,-4608704.33904208,-1237712.6354218582,-8111837.425001329
184172.7256142926,383463574489.70953,19455007572134.812,122312514208809.77,142150985355434.12,133965887408.88696,0.0,5479565.783868451,133971366974.67024,399669805768.3886,0.0,16886786311.442585,416556592079.8321,-18590613.720095392,-1134647.38067904,-115.67678753719854,-4412683.441070962,-1196061.5866194454,-7840579.891373514
206189.99817572188,381390555419.87897,19349833359248.734,121651328871826.8,141382552786494.16,130172822998.36053,0.0,5324419.228575043,130178147417.58936,387076993159.3697,0.0,16354717037.79584,403431710197.1636,-18316762.659488343,-1129559.877702307,-115.65208311525508,-4221367.781764802,-1156680.1949744758,-7583105.11534599
230408.9979932941,379164821593.53015,19236911189372.633,120941434951952.8,140557510962919.95,126349195821.33565,0.0,5168022.573776133,126354363843.90984,374750584264.40765,0.0,15833903813.173649,390584488077.5791,-18036774.22087495,-1124243.9445403956,-115.62478006068217,-4034871.8146189796,-1118670.6788266953,-7333972.31226677
257049.89779262352,376776781112.3271,19115754418299.05,120179772985723.45,139672304185134.47,122486908969.98466,0.0,5010044.634123143,122491919014.61859,362552493977.0777,0.0,15318512279.319052,377871006256.39764,-17749926.27359442,-1118685.7252724394,-115.59459220761603,-3853323.586479934,-1081421.5340233,-7089451.566899529
286354.8875718859,374216434417.5974,18985855719059.176,119363153462054.64,138723225615531.02,118583261500.37032,0.0,4850374.933730971,118588111875.30423,350397280542.0674,0.0,14804932359.056036,365202212901.1224,-17455787.762860626,-1112869.424836331,-115.5612011632894,-3676851.486725834,-1044544.8368202704,-6847175.354819651
