t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 15: solute,Flux surface 14: solute,Flux surface 13: solute
3600.0,98449443529449.14,1819035527.387711,1248007379.6478689,-1779.6965075432913,-181396217706.12265,-224753.92982863725,-2137.412547008629,-1.3884921201579399e-42,-32034495364.675785
7740.0,118379095191100.89,16991353238.458097,14184434403.216682,-24199.918693933585,-190286730738.06696,-2085893.7754070344,-27256.159969412776,-5.007592698212474e-42,-32682281687.606625
12501.0,129409741471091.56,65294045003.84468,68902355613.61613,-137360.58125486155,-191957840183.1749,-7948661.238847724,-148159.8283625258,9.669927475495466e-41,-32756898894.874435
17976.15,137552845936392.39,160640263584.4683,214680216381.3368,-472988.3045842745,-192567153287.5189,-19358588.655753143,-508451.69771011214,1.5986385255221224e-39,-32778684303.590427
24272.572500000002,144190757852019.1,302052503840.56696,506465696007.30615,-1161525.4922039052,-192878962661.10373,-36012327.7609647,-1299616.2472840738,5.404449474368461e-38,-32788749121.114174
31513.458375000002,149799984340100.5,476467247388.6125,988419094675.9237,-2230676.4405334573,-193069502187.99353,-56208435.40077129,-2709079.9448227934,1.2162085458108556e-36,-32794587817.85269
39840.47713125,154597422282193.88,666692270025.7997,1683487806626.1775,-3558098.614916381,-193197619787.57465,-77855218.10854912,-4872013.370007778,1.6520084761215857e-35,-32798426879.870884
49416.5487009375,158713791141750.12,857684517883.9143,2590876812603.0615,-4918817.1294821,-193288226303.5239,-99206365.5011824,-7845262.680581315,1.3643902743725807e-34,-32801153929.13859
60429.03100607812,162250703440255.38,1039184625197.7566,3688921220985.276,-6083079.798567598,-193353856127.61935,-119131983.16143632,-11601152.847349465,5.001635334127299e-34,-32803194140.292233
73093.38565698983,165299314246485.03,1205679978039.617,4940407420087.421,-6896315.980260037,-193401823385.44846,-137074436.6530785,-16032565.189959385,-3.0109842078547118e-33,-32804777694.24856
87657.3935055383,167944245379486.94,1355169207613.0134,6298503547641.136,-7307291.633776457,-193436960040.51553,-152877488.7866716,-20965469.197435092,-6.016427826448529e-32,-32806040564.908306
104406.00253136904,170262185760692.66,1487735125799.7268,7712434963436.015,-7351668.305316272,-193462729653.04236,-166608791.16469947,-26179408.66915019,-4.967824179804273e-31,-32807068530.797707
123666.90291107439,172319551435225.44,1604410101857.4717,9132490409966.586,-7115634.336801667,-193481700481.62192,-178428180.01858264,-31435255.542970426,-2.916261508076073e-30,-32807918580.386486
145816.93834773553,174171146580638.28,1706473070498.3262,10514091158751.938,-6700601.605395744,-193495775333.10083,-188512179.07991397,-36505648.87052127,-1.471126473764093e-29,-32808630213.758682
171289.47909989583,175860314343678.6,1795131356034.2375,11820734375588.025,-6199005.72389225,-193506339035.7501,-197024193.03254363,-41201429.890847936,-6.914698061891252e-29,-32809231806.74731
200582.9009648802,177420259334927.38,1871461799631.6655,13025718403269.936,-5682390.19629621,-193514378601.77283,-204112647.9585321,-45388702.73294948,-2.89379909687292e-28,-32809744380.505577
234270.3361096122,178875937110084.47,1936476496216.4558,14112665480711.89,-5198684.514159852,-193520587002.9082,-209920354.04872823,-48994539.43713417,-1.0882455300926991e-27,-32810183923.075165
273010.886526054,180245975347147.28,1991209305644.4502,15074959313904.158,-4774775.928810029,-193525448354.75122,-214593518.9430114,-52002628.14753616,-5.5950520189752335e-27,-32810562864.070915
