t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 15: solute,Flux surface 14: solute,Flux surface 13: solute
3600.0,224085349452131.3,8837727768.608091,6682584456.699481,-9126.888787165797,3758407250.8294516,-30413.998014935132,66959.44162560599,-9.092194488864862e-42,-44578620346.4043
7740.0,330985168931252.3,90632198349.34485,83777075200.47684,-136702.05989950433,5247136906.546463,-1127922.0760837684,715598.6131553553,-3.636744619878524e-41,-47414793233.65204
12501.0,415388507620835.44,390475367333.2546,455406869168.0987,-865779.3898167294,6113609764.905999,-5680049.217877312,3256610.2829980743,8.524692805960961e-40,-48346031258.75934
17976.15,490731198387575.75,1083753558735.919,1596414821161.0325,-3358055.0076181456,6682764441.10671,-16115880.163900401,9438976.749720171,2.4208226482664686e-38,-48843009841.659615
24272.572500000002,561136007715535.1,2301112358647.4424,4246037172500.6973,-9363392.380363638,7099797397.929596,-33529705.245002788,20575083.914668467,8.883457039506829e-37,-49167407089.03177
31513.458375000002,628113226270098.4,4092779092745.0547,9347195431792.05,-20564903.28587348,7426494329.47579,-57314982.762421265,36892618.566067085,2.0942370507825405e-35,-49403205499.96924
39840.47713125,692195991075612.2,6440330249686.047,17956480520397.12,-37766976.23058683,7692608855.077164,-85631645.40244186,57488280.04032561,3.0711465304935705e-34,-49586284801.369225
49416.5487009375,753532090057020.5,9290948876327.29,31166607857819.68,-60505854.500691384,7913825358.560703,-116145777.55368306,80731392.84518333,2.7090059263479098e-33,-49734808485.90219
60429.03100607812,812149146705785.9,12590862777743.58,50060672387706.69,-87287462.99085875,8099108533.934842,-146646536.79891253,104793065.52308096,8.540124463107414e-33,-49859050270.54728
73093.38565698983,868084853125155.0,16307621086007.727,75699727759172.31,-116209051.3648308,8254180120.603631,-175404012.3151553,128072020.30138193,-1.2414386105057593e-31,-49965284282.06228
87657.3935055383,921446807918536.2,20440385031046.18,109137526877606.2,-145578276.5655453,8383282492.72143,-201294631.03120658,149433055.25390747,-2.208823266673472e-30,-50057562368.03887
104406.00253136904,972428895039128.6,25021350057653.848,151454809184878.5,-174282283.53285968,8490038844.564209,-223773482.19159144,168268972.12921047,-1.9365277374037705e-29,-50138620272.48714
123666.90291107439,1021299885724299.0,30112076939495.664,203806129479437.5,-201868383.07515717,8577795803.506839,-242765447.90992865,184437907.60206765,-1.2386938877412268e-28,-50210380573.084785
145816.93834773553,1068376756373767.2,35797881950701.984,267473173607392.6,-228428646.34699267,8649684359.705982,-258524722.11680323,198136024.07795504,-7.4699438558594025e-28,-50274249274.35839
171289.47909989583,1113993453258542.4,42182457228255.29,343919706341551.9,-254408780.53457475,8708559352.99002,-271494872.8732758,209756376.38041675,-5.608626895786344e-27,-50331297366.29142
200582.9009648802,1158473257664248.5,49383925570714.04,434844966205037.6,-280429011.0454088,8756919810.06198,-282190324.30639917,219768088.4899794,-5.409462433140432e-26,-50382373978.12566
234270.3361096122,1202109411587615.5,57532741124608.875,542234350757616.4,-307157783.0554914,8796862674.572538,-291110933.53682446,228632155.719981,-5.528462872008467e-25,-50428177142.9939
273010.886526054,1245155126507056.5,66771305413330.49,668408185548062.9,-335243452.8379229,8830084206.539558,-298692304.65441674,236755533.291457,-5.204733336539576e-24,-50469297714.382484
317562.5195049621,1287821486812173.2,77254886889404.34,816070762408885.9,-365290894.08866096,8857919938.011868,-305286770.9789541,244475921.22416034,-4.2422135776642006e-23,-50506246197.82525
368796.89743070636,1330280560956095.5,89153367650807.31,988362421397857.4,-397865334.7393728,8881405093.174114,-311165520.8824969,252066072.11050633,-2.9106857446242417e-22,-50539468922.57757
427716.43204531225,1372671087963669.5,102653417476322.52,1188917311704274.5,-433508619.5750584,8901338710.920902,-316531769.0359045,259747243.13177514,-1.6563237561960399e-21,-50569357978.64515
495473.896852109,1415104842999623.8,117960831006328.3,1421928898260222.8,-472758469.28729963,8918340817.18318,-321537120.06463397,267704515.0285783,-7.728347475670138e-21,-50596258017.127785
573394.9813799253,1457672611029887.5,135302892632197.36,1692224610403876.5,-516166231.9206403,8932898328.394707,-326296514.08810043,276100157.2714332,-2.907755573828754e-20,-50620471934.37329
663004.228586914,1500449277921865.2,154930717663402.4,2005350460220897.5,-564311926.6010559,8945399616.084417,-330899920.6318493,285083830.29231477,-8.48253665823465e-20,-50642266460.026596
766054.8628749511,1543497847602344.0,177121548168446.8,2367666023538464.0,-617817028.4538945,8956159579.294094,-335420656.1655002,294799848.2524786,-1.6883228202037865e-19,-50661877806.04997
884563.0923061937,1586872338835290.8,202180967025437.56,2786449781804749.5,-677355914.3484561,8965437460.372644,-339920939.3218208,305392218.73073536,-7.584619270879392e-20,-50679516977.99161
1020847.5561521226,1630619632188544.8,230444950389368.38,3270014322143094.5,-743666723.6973255,8973449382.210209,-344455444.57212317,317008148.20168763,1.129957512001944e-18,-50695374206.558815
1177574.6895749408,1674780468759047.8,262281620580380.34,3827830140996159.0,-817561980.0449181,8980377191.855635,-349073507.73326635,329800493.13572395,6.2697831390487725e-18,-50709622166.29526
1357810.8930111818,1719389913158215.2,298092494960417.0,4470655666720090.0,-899938874.4414936,8986374830.314041,-353820465.9151364,343929426.34804636,2.1795747723287646e-17,-50722418013.47658
1565082.526962859,1764477628233816.2,338312951396947.0,5210669488435468.0,-991788699.5624521,8991573120.738796,-358738453.80803406,359563432.3046349,5.902336103338758e-17,-50733904583.2099
1803444.9060072878,1810068239427332.0,383411542846513.75,6061598522674437.0,-1094204536.8405313,8996083569.883186,-363866844.84226406,376879635.90036494,1.3153646271208085e-16,-50744211208.35791
2077561.6419083807,1856181911727084.0,433887687383520.8,7038832817561736.0,-1208385898.3391836,9000001523.837507,-369242420.3956834,396063382.3688263,2.4204992107449016e-16,-50753454551.192566
2392795.8881946374,1902835081693169.8,490267133977680.0,8159513732370185.0,-1335638566.6422334,9003408831.192986,-374899271.857614,417306903.1181396,3.476488752536548e-16,-50761739647.36171
2755315.271423833,1950041156539273.5,553094463599650.94,9442577225293854.0,-1477367329.0043871,9006376059.593834,-380868389.6953149,440806818.00819457,2.867475240239296e-16,-50769161151.81236
3172212.5621374077,1997810969553280.5,622921744821766.9,1.0908727953363262e+16,-1635058665.3415446,9008964281.659323,-387176872.8645448,466760145.2265661,-3.5782739941678415e-16,-50775804631.24147
3651644.4464580184,2046152875322131.2,700292351266432.9,1.2580313126742068e+16,-1810249769.5197568,9011226469.115301,-393846701.9880323,495358429.5252236,-2.5031382684708178e-15,-50781747711.2892
4202991.113426721,2095072527669584.0,785718910521889.1,1.448105831176542e+16,-2004479675.2471235,9013208572.24688,-400893057.38587636,526779576.7132158,-7.998474243201831e-15,-50787060954.20136
4837039.780440728,2144572517502581.5,879654456822432.8,1.6635622054785682e+16,-2219217934.0408807,9014950381.252844,-408322220.15916455,561177020.0207353,-2.0399603681485635e-14,-50791808463.66014
5566195.747506837,2194652079538480.2,982456190834393.6,1.9068924576160856e+16,-2455766590.2794995,9016486251.638594,-416129162.00078017,598665972.4263239,-4.637824785290121e-14,-50796048315.6576
6404725.109632863,2245306992360040.0,1094341912174312.5,2.1805211095086644e+16,-2715132587.7230463,9017845736.932827,-424295002.27087474,639306776.7967567,-9.832667292402292e-14,-50799832944.11817
7369033.876077792,2296529655142338.5,1215340281018628.0,2.4866826619436736e+16,-2997870782.47835,9019054133.855047,-432784589.4602242,683085793.8357563,-1.992417839482529e-13,-50803209564.6726
8477988.95748946,2348309217891023.0,1345237635050069.2,2.827271040274228e+16,-3303902937.3216352,9020132930.246037,-441544548.6647559,729894893.3121321,-3.920418706306746e-13,-50806220643.802956
9753287.301112879,2400631630196212.0,1483526078116066.5,3.203666748525961e+16,-3632325620.343246,9021100159.64568,-450502217.68790376,779511422.1563219,-7.577311227629768e-13,-50808904367.69677
10000000.0,2410497879813535.0,1509891622956821.8,3.275888224419687e+16,-3695431993.855337,9021277904.571241,-452183593.79231113,788945757.8083233,-8.341791885008389e-13,-50809396793.34201
