t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Total solute volume 6,Total solute volume 7,Total solute volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 14: solute,Flux surface 13: solute,Average T surface 10,Flux surface 15: solute
1000.0,74933184607348.28,-312249.65075828426,-135722.78663792397,48702716301022.95,-312242.2636171253,-133355.20010530448,0.014647648371018245,-165124964169.5703,-236.73792596422115,-1.816865034394385e-45,-30695360428.00822,392.73067810115657,-0.04096123560857389
2100.0,94014169844011.62,-72596812.99131344,-13554563.754768578,57344844486795.52,-72594409.88360794,-13213966.617714843,1.0287440611586551,-182835390097.43658,7782.734482665801,-1.1024326663266752e-43,-32281118793.658504,392.73067810115657,5.192714559484887
3310.0,104215184550344.69,-393964123.5933323,-97417440.53118125,60694703427612.67,-393950971.9545251,-94883306.87858884,15.770518613318387,-187722795214.66263,47689.34248414274,-4.815761182415435e-43,-32574778560.767487,392.73067810115657,63.42437614753302
4641.0,111273310724102.3,-957649910.313061,-331214688.4653204,62452783515502.44,-957617662.8916926,-322287694.3576682,111.77936110418476,-189763422296.84952,120606.3348065135,3.3199889530258432e-43,-32672614420.434143,392.73067810115657,316.0725977656665
6105.1,116838228478822.81,-1030234180.3256512,-613091557.2872908,63550587608188.97,-1030198687.3180189,-595546419.1079627,437.22037393320613,-190830561300.80673,132597.4097652902,6.815318654563178e-42,-32717163215.082474,392.73067810115657,854.8793786783708
7715.610000000001,121565668805981.75,1228605681.7764957,-214541487.5535934,64315750985437.16,1228567082.079926,-204696642.78211477,883.0920057118437,-191475107266.38974,-151253.20706571385,1.8873911714612925e-41,-32741748963.84303,392.73067810115657,1018.0697611698994
9487.171,125769194508351.48,8667722433.033474,2809077496.320424,64889686088413.91,8667436395.159271,2741901271.4561896,-284.9452293086023,-191904312358.3541,-1085725.571972055,1.456043428023048e-41,-32757126216.2845,392.73067810115657,-2088.2696651850533
11435.8881,129616503563683.77,24591814822.337807,12141709068.97096,65342751138883.08,24590995599.042732,11822025167.584503,-9203.527757771924,-192210421314.12357,-3068571.0119414125,-5.010895950612153e-41,-32767597849.30164,392.73067810115657,-15623.891087956714
13579.476910000001,133203083894453.53,52023391059.363335,33460048763.019478,65713786327607.45,52021648775.71246,32539115406.975834,-39802.805039200844,-192439914629.8546,-6447441.809281683,-1.8854613173945135e-40,-32775171240.73483,392.73067810115657,-52973.528625300336
15937.424601000002,136584664043392.06,93075720998.22954,74317431068.18204,66025967782332.195,93072591224.7897,72200918883.18442,-115739.076952141,-192618536925.76028,-11447149.047130635,-2.900116677668252e-40,-32780896004.844154,392.73067810115657,-134891.9088047369
18531.167061100005,139793458330924.45,148612198282.9609,143685044413.69193,66293959643804.22,148607183535.11685,139465335719.71344,-268676.2648237514,-192761631640.69714,-18135274.66302565,-7.964692997077501e-41,-32785370873.47215,392.73067810115657,-289336.5214979574
21384.283767210007,142847203018175.12,218217268225.8678,251266073229.70615,66527455016621.63,218209881002.45932,243667929156.5722,-532218.0050623395,-192878876376.15558,-26425779.20135201,7.382122619034305e-40,-32788961378.691406,392.73067810115657,-549934.9401081842
24522.712143931007,145754648251443.12,300401985284.5071,406726874946.3131,66733070364560.08,300391784696.22363,394072773411.2327,-933034.1061400431,-192976643366.18082,-36109303.37226412,2.1169691205513642e-39,-32791903057.34227,392.73067810115657,-953460.9094174666
