t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Total solute volume 6,Total solute volume 7,Total solute volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 14: solute,Flux surface 13: solute,Average T surface 10,Flux surface 15: solute
1000.0,128467049229608.34,-887507.1073804192,-359970.7967483284,78018593850778.4,-887486.4998581201,-353934.14618327154,0.03860886841670876,2247727138.0896783,-18.49329643140273,-6.556108015658684e-45,-40230367213.8538,392.73067810115657,-11.890030749753736
2100.0,188768363028985.03,-218019349.37773913,-43570677.953821264,104065499846104.27,-218012130.13396192,-42458947.253524326,3.1519064000935293,3196397003.0610247,11358.851263473274,-4.999302145210383e-43,-44483435308.60127,392.73067810115657,-783.5258818367784
3310.0,234401276089342.94,-1310012893.057181,-344470236.28771174,119525766656588.84,-1309969134.4326148,-335372258.000505,51.58492508589752,4041661303.7604413,68546.86148352866,-2.519744820361323e-42,-46047212225.5085,392.73067810115657,-5534.867493022017
4641.0,273741340704835.12,-3624458676.2296042,-1305841270.803699,130499913715433.48,-3624336609.1295457,-1270176406.9473183,393.74981439553625,4673050755.4263735,199524.6841093911,-3.160718002000346e-43,-46908843970.93337,392.73067810115657,-18359.23831989187
6105.1,309792861702185.2,-5013606509.069091,-2825730524.8170123,139031244911731.44,-5013434785.349038,-2744577612.148173,1693.380088387205,5163425047.220379,362554.87265596766,2.9592664008369823e-41,-47474681091.36876,392.73067810115657,-31737.744024791555
7715.610000000001,344005974684005.0,1896192967.8034976,-2207205966.9006596,146040803452195.94,1896139593.4695196,-2129990537.951494,4006.780825844142,5560829165.497454,397781.8643359771,9.9996912047331e-41,-47884504713.67132,392.73067810115657,-1602.8488075848886
9487.171,377198536260842.44,31511769415.17139,9622461700.874447,152017916397848.44,31510730991.465134,9397404468.913227,1080.7646794094487,5893785663.58488,21690.875313835284,1.1472918645827276e-40,-48200414941.30453,392.73067810115657,180531.8536708465
11435.8881,409872601024057.9,105193189927.60358,53226640063.88922,157251533225291.97,105189681377.00108,51806116573.20211,-34425.082868731086,6179967798.601982,-1140432.0568780347,-1.9293444491066865e-40,-48454628584.33719,392.73067810115657,703401.3529024186
13579.476910000001,442347641418379.3,249283640044.54727,166237460472.8467,161925316490314.06,249275274277.3266,161584775412.4006,-175957.03164455725,6430907478.500553,-3500780.3615746098,-1.0419048816114701e-39,-48665703672.929375,392.73067810115657,1829285.1178291503
15937.424601000002,474825351910982.3,491981267275.337,408376441734.6914,166162432623166.38,491964681605.1249,396547361867.7802,-572165.7286738731,6654463230.721029,-7449199.29502996,-1.9949971865484634e-39,-48845172091.85336,392.73067810115657,3864328.994912443
18531.167061100005,507425163642014.44,860022474535.8053,865099480018.476,170048810117537.1,859993368486.903,839275125637.5945,-1467006.5111130828,6856172482.763208,-13298796.08628996,-1.353847807724481e-39,-49000624656.71843,392.73067810115657,7114294.916688908
